"Link","Sigma","Rho","n","Successful_Reps","MLE","SRRE_k1","SKLE_k1","SRRE_k2","SKLE_k2","SRRE_k3","SKLE_k3","SRRE_k4","SKLE_k4","MLE_Med","SRRE_k1_Med","SKLE_k1_Med","SRRE_k2_Med","SKLE_k2_Med","SRRE_k3_Med","SKLE_k3_Med","SRRE_k4_Med","SKLE_k4_Med","Clamp_Rate","Conv_Rate","Mean_k1","Mean_k2","Mean_k3","Mean_k4","K4_Binds","Prov_Hold_k1","Prov_Hold_k2","Eq32_Hold_k1","Eq32_Hold_k2","Eq32_Val_k1","Eq32_Val_k2","Eq32T_Hold_k1","Eq32T_Hold_k2","Eq32T_Val_k1","Eq32T_Val_k2","SignFlip_k1","SignFlip_k2","SignFlip_k3","SignFlip_k4"
"logit",0.5,0.95,100,1000,0.109636767426069,0.0441246672918148,0.0301307994141077,0.0687800366585699,0.0405006416874797,0.105129028471319,0.100724443501032,0.0687819663188725,0.0402827181139999,0.0836279519605274,0.0232177955975248,0.0106257640882476,0.0467355454496708,0.0216901202982941,0.0798272985970644,0.0761432114700084,0.0467355454496708,0.0213755431853464,0,1,29.7583682884455,6.13322172231092,0.300786949480642,5.88464034192859,0.022,0.685,0.978,0,0,36.5955217076728,15.2459483209539,0,0,30.5416854542936,13.6735043595378,0.001,0.00025,0.00175,0.00025
"logit",0.5,0.95,200,1000,0.0534047528011358,0.0255602709326088,0.021422079556482,0.0384201468140861,0.0267070256838288,0.0522510543172743,0.0511106845228422,0.0384096274766986,0.0266653152869555,0.0433018692802427,0.0145833279110316,0.00667297501169627,0.0294523184190668,0.0178195068398945,0.0424574705694693,0.0415478521183104,0.0294523184190668,0.0175938248954945,0,1,54.249341115188,8.4566728519822,0.31818376055434,8.3048391961008,0.003,0.755,0.997,0,0,58.9110138774518,19.8355618255262,0,0,53.9642366712946,18.7516624679858,0.00125,0,0.00025,0
"logit",0.5,0.99,25,1000,3.06219144473814,0.589996894875914,0.56587040855188,0.494501537777747,0.407683319310996,2.40405092946211,1.85819131193175,0.623198061398749,0.189863080842187,2.1859889048306,0.242895351723419,0.281776623977055,0.327307627476975,0.173319594566532,1.58113878241625,1.04715702067205,0.439940390137929,0.0969558930213021,0,1,2.5601400906043,1.26433352370637,0.110250334031707,0.733902681809581,0.685,0.314,0.315,0,0,17.2488073109461,26.1745227149356,0.034,0,1.84875342161182,2.429683476737,0.07725,0.051,0.1895,0.01825
"logit",0.5,0.99,50,1000,1.26575363860352,0.280293958026414,0.200021223748238,0.346055241733475,0.093240514344305,1.03808439782758,0.838785832347762,0.357602894148957,0.0666885758943056,0.941666469045294,0.108403709741551,0.0901426603951209,0.205299379525686,0.0367779653765436,0.727930042731577,0.544157362751609,0.218848082649726,0.0269181425412666,0,1,4.37427916656905,1.78641993496057,0.170939388542204,1.37294483533488,0.303,0.402,0.697,0,0,15.9188542313118,12.2022218562952,0.001,0,3.72077625420112,3.46827315748074,0.01975,0.00575,0.12275,0.0025
"logit",0.5,0.99,100,1000,0.59240681088599,0.172406609999141,0.0767668411944118,0.241655184450327,0.073056573929886,0.517643402141145,0.448634111746596,0.242908172064233,0.0695194664320561,0.449775877923449,0.0752446053766335,0.0348527901573356,0.14390697796584,0.0218683065549538,0.377679873692245,0.313525907877751,0.144657558146836,0.0188021119631254,0,1,9.38154800427381,2.79530123017035,0.223309016154912,2.22906608106947,0.122,0.56,0.878,0,0,15.6577137489835,9.42466227754974,0,0,7.04897222415456,5.31638711433769,0.004,0.00275,0.066,0.00275
"logit",0.5,0.99,200,1000,0.274916189927881,0.0895560513621626,0.0373691275464129,0.14059375077003,0.0585704130094309,0.25218054217295,0.230492975130962,0.14065110296485,0.0584218426656395,0.221480697610827,0.0432326351436748,0.0148315090960907,0.0941476433596718,0.0232102703989592,0.200478353105723,0.18035584122863,0.0941476433596718,0.0230585548985264,0,1,14.1873122235535,3.60836907661208,0.265740929870662,3.3547425296,0.043,0.638,0.957,0,0,20.2975335575813,10.5070880364145,0,0,13.74443640584,8.15700306723282,0.001,0.00125,0.0185,0.00125
"logit",1,0.8,25,1000,0.236969673714692,0.114185846100912,0.176992931549219,0.147291451781441,0.0926894193376011,0.218707213611624,0.201500043254458,0.146908985313147,0.0900153269824196,0.169227957424815,0.0743677241033297,0.0657063496867194,0.100534208486698,0.0547716675226291,0.156265908496861,0.143706648187067,0.100141260889363,0.0536836339057632,0,1,37.8126788998039,6.32442040049127,0.540593718426043,5.78968879691329,0.031,0.561,0.969,0,0,24.9191602669327,8.71376493705712,0,0,16.8449378739431,6.94261811163642,0.036,0.00325,0.011,0.003
"logit",1,0.8,50,1000,0.0960948834447728,0.0618528408911315,0.115057975424116,0.0706343036154856,0.052507115146412,0.0925374159610787,0.0890686021547875,0.0706044526752073,0.0523771150123767,0.0737756912926152,0.0406998546297938,0.0410213600789365,0.0500783898260843,0.0347706181894273,0.0711164273208562,0.0681517308295287,0.0500783898260843,0.0347706181894273,0,1,63.9617265254482,9.11528740602194,0.614863341212985,9.03915029450593,0.011,0.676,0.989,0,0,39.6893688312853,11.3989253321558,0,0,33.8474311373957,10.2949295597148,0.01775,0.00025,0.00075,0.00025
"logit",1,0.8,100,1000,0.0446930862829314,0.0412088277823832,0.0953123709169278,0.0361903132256388,0.029980991276466,0.0439093498140884,0.0431346982952556,0.0361740911942518,0.0298893719117821,0.0347491725901973,0.0252370725233584,0.0285363575822544,0.0263715080987459,0.0213361870002361,0.0342610521087014,0.0335350195693683,0.0263238670941276,0.0213361870002361,0,1,118.62357142893,13.7552673854346,0.637072121931163,13.6446727855388,0.003,0.717,0.997,0,0,71.6418080233667,16.3513867778034,0,0,66.75838382395,15.3497503793055,0.01475,0,0,0
"logit",1,0.8,200,1000,0.0237555019545059,0.0284875696238344,0.0724673591238046,0.0209545580413383,0.019765132012873,0.0235498786626894,0.02334551093569,0.0205610221137079,0.018188119787743,0.0178212672673939,0.0148533236566594,0.0178026203363448,0.0148872819305842,0.0126348673373965,0.0176423289852769,0.0175195201156883,0.0148127187379735,0.0126348673373965,0,1,250.835118640462,22.6677540085798,0.64975265658281,19.3601950722548,0.001,0.828,0.999,0,0,121.57277103901,21.5013857935891,0,0,118.652955643778,21.1355075760451,0.0085,0.001,0,0
"logit",1,0.9,25,1000,0.545470542061462,0.162674927245038,0.149856099547853,0.263293141152196,0.125351507513273,0.473967415092444,0.409264052380049,0.264515150290958,0.119476543093439,0.388403452217665,0.0827938860770814,0.0715328268177027,0.172707484365968,0.0617934620383943,0.336310532170154,0.281833862843676,0.174726247564152,0.059411287321624,0,1,20.2380520667452,4.34203059777796,0.473415406855686,3.82456426587337,0.086,0.454,0.914,0,0,18.0867533235335,7.33194312507094,0,0,7.83767244613214,4.61856073640625,0.021,0.009,0.0605,0.008
"logit",1,0.9,50,1000,0.213873908959391,0.0858163115875931,0.0879973659172503,0.134672345301065,0.0810518356334609,0.198796202706358,0.184380971589779,0.134682311120355,0.0803809202059784,0.159699131897723,0.048208248775009,0.0313198123593627,0.0865918485582939,0.0432075157321075,0.148910293339767,0.135776124373313,0.0865918485582939,0.0425135239981785,0,1,40.1263140391693,6.39062120367747,0.563076955659573,6.08619207701208,0.025,0.577,0.975,0,0,24.2616257421419,8.57553070754202,0,0,17.3044136446726,7.06602513985557,0.01125,0.0025,0.00975,0.00225
"logit",1,0.9,100,1000,0.106286175427018,0.0520823082787994,0.0604101929253459,0.0769590977600794,0.0547622303667832,0.102310281740475,0.0984194048564809,0.0768697356816438,0.0543196084539873,0.0808652784403427,0.0286971565688431,0.0173073085073291,0.0543003439135169,0.0346505598150606,0.0781411967409243,0.0751732632087016,0.0541950466974178,0.0344351416248011,0,1,68.1354507645779,9.35561239366125,0.607085237340961,8.91961999282379,0.013,0.711,0.987,0,0,40.626660503398,10.9238250357469,0,0,34.7486256445394,10.0151676393391,0.009,0.00025,0.00075,0.00025
"logit",1,0.9,200,1000,0.0471896204453318,0.026855401772852,0.0372345374203823,0.0371066916867118,0.0290258442709107,0.0462737540264994,0.0453677082179661,0.0370901647051414,0.0289066745352472,0.0376175928086237,0.0168006092386331,0.0113315377136951,0.0286453249463758,0.0208433105140355,0.036824248713441,0.0360358047971574,0.0286453249463758,0.0208073943572494,0,1,115.702098198824,13.1759889409518,0.635986513712116,12.91997120106,0.003,0.76,0.997,0,0,66.5706999376744,15.1306287289788,0,0,62.1489255379944,14.3376101689866,0.00425,0,0,0
"logit",1,0.95,25,1000,1.06566239362601,0.275026367744745,0.199006473607031,0.418046211486568,0.151365703782486,0.887412814511805,0.731668077349246,0.42260312750744,0.141123836709632,0.739547816418659,0.119519559301692,0.101170042915802,0.254645235833127,0.0708692395744817,0.590565609691771,0.4530130343804,0.260906290517842,0.0655575134455022,0,1,11.5635868776074,2.90080574769849,0.369679995687328,2.37844621985252,0.163,0.406,0.837,0,0,15.4040783866984,7.32251983068615,0,0,4.33387690102211,3.00877873870728,0.02775,0.014,0.1005,0.0125
"logit",1,0.95,50,1000,0.457500775533567,0.142299980751253,0.0925832509323411,0.241944783401596,0.112778677107262,0.40502508961941,0.356326510083751,0.242129132333608,0.111245995579883,0.36074222406183,0.0694705591806626,0.0404755675989042,0.166689845800619,0.0553099152397949,0.310593090454741,0.2676620255757,0.1669727202595,0.0519097812558424,0,1,25.7377891289071,4.48993799648404,0.479803207926126,3.93059106388502,0.05,0.534,0.95,0,0,16.5376451745881,7.01323203978,0,0,8.54729826298971,4.60739364306781,0.01125,0.0065,0.0455,0.00625
"logit",1,0.95,100,1000,0.204002637731663,0.0744160597868235,0.0482693174858577,0.129808970890386,0.0772880276267389,0.190062145951563,0.176668980376334,0.129813157283511,0.077036855639319,0.159249299660855,0.0388942310274883,0.0191251368040071,0.0906759592854992,0.0427829008555985,0.145955251187527,0.134430065127715,0.0906759592854992,0.0422629397428832,0,1,38.391718456176,6.45964486876784,0.566022889352678,6.12038432152399,0.022,0.622,0.978,0,0,23.7810390787822,8.37320667397004,0,0,16.9304057275777,6.90898827327433,0.00275,0.00175,0.00925,0.00175
"logit",1,0.95,200,1000,0.100400440660344,0.0409176852145459,0.0307847294328135,0.0713590919948961,0.0491315673718475,0.0965859222432755,0.0928493450705118,0.0713566737264222,0.0490345040896153,0.0815779175905976,0.0226487944274202,0.0107147178916716,0.0543973789383149,0.0328397036806136,0.0788228864666417,0.0757506743452973,0.0543973789383149,0.03281055042588,0,1,67.1859096288602,9.24936896523276,0.609756167032944,8.9133064896267,0.009,0.693,0.991,0,0,36.8369976631701,10.6689800907852,0,0,32.0822739960342,9.65396824347202,0.00225,0,5e-04,0
"logit",1,0.99,25,1000,5.93809019956825,1.00950256570387,1.26630939999235,0.83805700281452,0.972422419929251,4.53748536058858,3.40826260799294,1.15563372454654,0.37902842991347,4.03216557453365,0.327909449019386,0.6535521474755,0.498168077492801,0.383506739088943,2.75748463595112,1.78208145557229,0.806506343157451,0.188176393423962,0,1,3.60096844998922,1.42875408418259,0.150358723851937,0.777055874539868,0.779,0.225,0.221,0,0,20.3103907740807,25.495656255143,0.115,0.024,0.991684025887512,1.42565953354946,0.1535,0.1075,0.2375,0.0505
"logit",1,0.99,50,1000,2.36347193358522,0.509338725110068,0.371368877096323,0.638976363563418,0.163674854630723,1.86949989967453,1.4526366181566,0.659800091147227,0.116003681645089,1.75618375039109,0.176938986283759,0.193586747845089,0.405554746968571,0.0649853012618578,1.29202090678349,0.890809986451184,0.435156003733387,0.0499619962814245,0,1,5.83769956477603,1.94080938818353,0.251801512689284,1.4746201238043,0.306,0.357,0.694,0,0,14.8672229556555,10.8081287579726,0.026,0.005,1.96383434714798,1.8357130150585,0.047,0.015,0.1735,0.009
"logit",1,0.99,100,1000,1.10229675281786,0.278255363906591,0.140429517208039,0.450792906203001,0.129451998354155,0.917334978917543,0.752474779087136,0.452949570042206,0.124551336135071,0.910595686615792,0.113130859212974,0.0713187248918518,0.302307258598649,0.0463991923064228,0.718355053309391,0.546107335900295,0.302307258598649,0.0401879494557939,0,1,9.44543150696437,2.69265927768384,0.359151696004278,2.29677178237567,0.103,0.481,0.897,0,0,14.1454602432737,6.72688998292106,0,0,3.88995800076892,2.6974887627223,0.01325,0.01125,0.117,0.0105
